Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
3,Sinitshenkova N.,New Permian stoneflies of the family Palaeonemouridae (Insecta: Perlida = Plecoptera) from the Isady locality,2010,Paleontological Journal,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=76649116894&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=76649116894&origin=inward,,2026-04-12 18:38:39,Article,10.1134/S0031030110010077,00310301,https://api.elsevier.com/content/abstract/scopus_id/76649116894,44,1,,,,0.2,3.0,1,15,,,,76649116894,2-s2.0-76649116894
3,Krno I.,A new model estimating stonefly species production in the West Carpathian torrents,2010,Biologia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951763708&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951763708&origin=inward,,2026-04-12 18:38:39,Article,10.2478/s11756-010-0050-6,00063088,https://api.elsevier.com/content/abstract/scopus_id/77951763708,65,3,,,,0.2,3.0,1,15,,,,77951763708,2-s2.0-77951763708
10,Bo T.,Do predators condition the distribution of prey within micro habitats? An experiment with stoneflies (plecoptera),2010,International Review of Hydrobiology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953530649&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953530649&origin=inward,,2026-04-12 18:38:39,Article,10.1002/iroh.200911228,14342944,https://api.elsevier.com/content/abstract/scopus_id/77953530649,95,3,,,,0.67,10.0,1,15,,,,77953530649,2-s2.0-77953530649
9,Corbin T.A.,Habitat and water quality preferences of mayflies and stoneflies from South Australian streams,2010,Transactions of the Royal Society of South Australia,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79961119873&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79961119873&origin=inward,,2026-04-12 18:38:39,Article,10.1080/3721426.2010.10887129,03721426,https://api.elsevier.com/content/abstract/scopus_id/79961119873,134,1,,,,0.6,9.0,1,15,,,,79961119873,2-s2.0-79961119873
2,Tarter D.C.,"New state, county, and drainage basin records of West Virginia (USA) stoneflies (Plecoptera)",2010,Entomological News,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959926956&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959926956&origin=inward,,2026-04-12 18:38:39,Article,10.3157/021.121.0206,0013872X,https://api.elsevier.com/content/abstract/scopus_id/79959926956,121,2,,,,0.13,2.0,1,15,,,,79959926956,2-s2.0-79959926956
2,Gamboa M.,Population status of insects of Plecoptera order in Sierra Nevada National Park in Venezuela and its implications for conservation planning,2010,Revista De Biologia Tropical,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650712787&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650712787&origin=inward,,2026-04-12 18:38:39,Article,,00347744,https://api.elsevier.com/content/abstract/scopus_id/78650712787,58,4,,,,0.13,2.0,1,15,,,,78650712787,2-s2.0-78650712787
4,Bolton M.,"New state records of aquatic insects for Ohio, U.S.A. (Ephemeroptera, Plecoptera, Trichoptera, Coleoptera)",2010,Entomological News,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79954455679&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79954455679&origin=inward,,2026-04-12 18:38:39,Article,10.3157/021.121.0115,0013872X,https://api.elsevier.com/content/abstract/scopus_id/79954455679,121,1,,,,0.27,4.0,1,15,,,,79954455679,2-s2.0-79954455679
9,De Figueroa J.M.T.,"Protonemura gevi sp. N., A cavernicolous new species of stonefly (Insecta: Plecoptera)",2010,Zootaxa,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77953818783&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953818783&origin=inward,,2026-04-12 18:38:39,Article,10.11646/zootaxa.2365.1.2,11755326,https://api.elsevier.com/content/abstract/scopus_id/77953818783,,2365,,,,0.6,9.0,1,15,,,,77953818783,2-s2.0-77953818783
4,Cao T.K.T.,"Togoperla thinhi, a new stonefly from central vietnam (Plecoptera: Perlidae)",2010,Animal Cells and Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79957658449&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957658449&origin=inward,,2026-04-12 18:38:39,Article,10.1080/19768354.2010.504349,19768354,https://api.elsevier.com/content/abstract/scopus_id/79957658449,14,3,,,,0.27,4.0,1,15,,,,79957658449,2-s2.0-79957658449
12,Fenoglio S.,"Life cycle and nymphal feeding of Besdolus ravizzarum (Plecoptera: Perlodidae), a threatened stonefly",2010,Insect Science,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952919794&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952919794&origin=inward,,2026-04-12 18:38:39,Article,10.1111/j.1744-7917.2009.01300.x,16729609,https://api.elsevier.com/content/abstract/scopus_id/77952919794,17,2,,,,0.8,12.0,1,15,,,,77952919794,2-s2.0-77952919794
