Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,ScopusID,EID
48,Suhonen J.,Local extinction of dragonfly and damselfly populations in low- and high-quality habitat patches,2010,Conservation Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954691756&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954691756&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1523-1739.2010.01504.x,08888892,https://api.elsevier.com/content/abstract/scopus_id/77954691756,24,4,,,,3.2,48.0,1,15,,,,77954691756,2-s2.0-77954691756
42,Lin C.,"The complete mitochondrial genome and phylogenomics of a damselfly, Euphaea formosa support a basal Odonata within the Pterygota",2010,Gene,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77957008885&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77957008885&origin=inward,,2026-04-12 18:54:23,Article,10.1016/j.gene.2010.08.001,03781119,https://api.elsevier.com/content/abstract/scopus_id/77957008885,468,1-2,,,,2.8,42.0,1,15,,,,77957008885,2-s2.0-77957008885
44,Sherratt T.,Empirical evidence of senescence in adult damselflies (Odonata: Zygoptera),2010,Journal of Animal Ecology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952035650&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952035650&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1365-2656.2010.01719.x,00218790,https://api.elsevier.com/content/abstract/scopus_id/79952035650,79,5,,,,2.93,44.0,1,15,,,,79952035650,2-s2.0-79952035650
3,Mill P.,Dragonflies (Odonata) in Britain and Ireland,2010,Silent Summer the State of Wildlife in Britain and Ireland,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928853192&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928853192&origin=inward,,2026-04-12 18:54:23,Book Chapter,10.1017/CBO9780511778230.028,,https://api.elsevier.com/content/abstract/scopus_id/84928853192,9780521519663,,,,,0.2,3.0,1,15,,,,84928853192,2-s2.0-84928853192
31,Watts P.C.,Patterns of spatial genetic structure and diversity at the onset of a rapid range expansion: Colonisation of the UK by the small red-eyed damselfly Erythromma viridulum,2010,Biological Invasions,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77958003214&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77958003214&origin=inward,,2026-04-12 18:54:23,Article,10.1007/s10530-010-9779-7,13873547,https://api.elsevier.com/content/abstract/scopus_id/77958003214,12,11,,,,2.07,31.0,1,15,,,,77958003214,2-s2.0-77958003214
12,Hassall C.,The impact of climate-induced distributional changes on the validity of biological water quality metrics,2010,Environmental Monitoring and Assessment,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=74349107556&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=74349107556&origin=inward,,2026-04-12 18:54:23,Article,10.1007/s10661-008-0709-4,01676369,https://api.elsevier.com/content/abstract/scopus_id/74349107556,160,1-4,,,,0.8,12.0,1,15,,,,74349107556,2-s2.0-74349107556
4,Clopton R.E.,"Nubenocephalus nickoli n. sp. and Nubenocephalus xunantunichensis n. sp. (Apicomplexa: Eugregarinida: Actinocephalidae) parasitizing damselflies (Odonata: Zygoptera) in Belize, Central America",2010,Comparative Parasitology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955167686&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955167686&origin=inward,,2026-04-12 18:54:23,Article,10.1654/4438.1,15252647,https://api.elsevier.com/content/abstract/scopus_id/77955167686,77,2,,,,0.27,4.0,1,15,,,,77955167686,2-s2.0-77955167686
7,Hunt P.D.,Lotic Odonata of the Connecticut River in New Hampshire and Vermont,2010,Northeastern Naturalist,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954415938&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954415938&origin=inward,,2026-04-12 18:54:23,Article,10.1656/045.017.0201,10926194,https://api.elsevier.com/content/abstract/scopus_id/77954415938,17,2,,,,0.47,7.0,1,15,,,,77954415938,2-s2.0-77954415938
28,Bried J.T.,National review of state wildlife action plans for Odonata species of greatest conservation need,2010,Insect Conservation and Diversity,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77952179465&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77952179465&origin=inward,,2026-04-12 18:54:23,Article,10.1111/j.1752-4598.2010.00081.x,1752458X,https://api.elsevier.com/content/abstract/scopus_id/77952179465,3,2,,,,1.87,28.0,1,15,,,,77952179465,2-s2.0-77952179465
28,Bolek M.G.,The role of damselflies (Odonata: Zygoptera) as paratenic hosts in the transmission of halipegus eccentricus (Digenea: Hemiuridae) to anurans,2010,Journal of Parasitology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77956134991&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956134991&origin=inward,,2026-04-12 18:54:23,Article,10.1645/GE-2365.1,00223395,https://api.elsevier.com/content/abstract/scopus_id/77956134991,96,4,,,,1.87,28.0,1,15,,,,77956134991,2-s2.0-77956134991
